objectid,filename,location,othernames,city,prefecture,subject,description,latitude,longitude,format,creator,rights,date
nag001,Korankei.jpg,Korankei,"Korankei Gorge, Asuke",Toyota,Aichi,"Nature, Temple/Shrine","One of my favorite places to visit in any season. The small town nearby is so much fun to wander through. Gohei mochi and soba are always a must here at the local folk craft village. Many of the maples there today were planted in 1634 by the abbot of Kojaku-ji. At the top of the mountain is a small rock, where the god of healthy feet used to stand on one foot, until he was moved to the bottom of the mountain and a bigger shrine. Nearby is a great example of a rebuilt Sengoku era castle. This was great because it let me visualize what the many destroyed mountain castles I encountered looked like. ",35.13137,137.31349,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2020
nag002,OntakeSan.jpg,Ontake-san,Mount Ontake,Otaki,"Nagano, Nagano","Nature, Temple/Shrine","From Ichinomiya I could always see this volcano from hundreds of miles away. There was a lot of comfort for me getting to see Ontake-san everyday. I tried climbing it once in the fall, but a huge snowstorm forced me to turn back halfway up. The second time I went in the summer and was able to make it to the top. On the way I walked a bit with a couple of Ontake-san worshippers, I was really happy to be able to walk with them in mutual appreciation of the mountain and the god on it. The mixed scents of pine and sulfur still stay strong in my memory. ",35.88354,137.45004,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2021
nag003,IseJingu.jpg,Ise Jingu,"Ise Shrine, Inner Shrine",Ise,Mie,Temple/Shrine,"Home of Amaterasu, I was always so happy and at peace getting to come here. Having prayed at various shrines dedicated to her throughout the country, it felt much more intimate to be able to worship her here. The approach to the shrine is a really wonderful one as it winds through a grove of many trees. The act of rebuilding the shrine every 20 years having been repeated here for hundreds of years makes for a point of deep rumination for me about the cyclical nature of our existence. ",34.45524,136.72581,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2021
nag004,HeianJingu.jpg,Heian Jingu,Heian Shrine,Kyoto,Kyoto,Temple/Shrine,This shrine built in 1895 is very well kept. The way it mimics the Heian era courts' buildings is a thrilling step back into time. Behind it is a fantastic garden with a beautiful bridge. When I was here I fed the koi in the pond and it was a lot of fun. Across the street from it is a Pokemon manhole cover which is a fun flourish. ,35.01614,135.78241,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2021
nag005,Todaiji.jpg,Todaiji,"Todaiji Temple, Todai Temple, Eastern Great Temple",Nara,Nara,Temple/Shrine,"One of my favorite pieces of art in the world, this statue of Agyo by Kaikei is truly a sight to behold. I remember on night I was able to sit for an hour alone with the work besides for a couple of deer nearby. Nara at night is really special and the time where I could feel like I was truly in touch with all the powers that reside there. This statue is a whopping 27.5 feet tall and was built in 1203. They are made up of various smaller blocks of wood that were carved then assembled together like a puzzle. Nio (Agyo and Ungyo) were followers of the Buddha who would use force to protect him. ",34.68914,135.83979,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2021
nag006,MeijiMura.jpg,Meiji Mura,"Meiji Village, Meiji-Mura, Meiji Mura Museum, Meiji-Mura Museum",Inuyama,Aichi,History,"Meiji Mura is the museum I just can't get enough of. Larger than Tokyo Disneyland in size, building from all over Japan have been collected here to represent the fascinating Meiji Period(1868-1912). The style of buildings are a mix of Western and Eastern styles and tell stories of transition through their structure. Seeing them all gathered here is such a thrill. In this picture are the Tokyo Central Station Police Box in front of the Kanazawa Prison Central Guard Station. One of the cool things about this place is that nearly every building has been featured in the Golden Kamuy manga. There was even one day where they turned the whole museum into a Golden Kamuy real escape game. It took us all day to solve it, but we managed! Also met a whole lot of elderly woman wearing the same shirt as me that day and got to have some nice chats about Golden Kamuy. ",35.34058,136.9885,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2020
nag007,Nagaragawa.jpg,Nagaragawa,Nagara River,Gifu,Gifu,Nature,"The Nagaragawa is such a welcoming river that runs at the foot of Kinkazan and Gifu Castle. I have many fond memories here. Summer nights were spent doing fireworks on the bank, swimming with the fish, and watching the ukai fishermen. Watching the fishing was a transportative moment that felt pulled right from the Edo period, it was one of those moments that really just sticks with you. There are also loads of cherry blossom trees nearby and we would go there every year to take them in. One of the trees has been foretelling how good the yearly catch will be for about 500 years based on how many flowers it has. In the winter we got to watch boats with large numbered lanterns float down the river in celebration of the New Year. ",35.4401,136.78008,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2020
nag008,MasumidaJinja.jpg,Masumida Jinja,"Masumida Shrine, Owari Ichinomiya",Ichinomiya,Aichi,Temple/Shrine,"The most busy time of all for Ichinomiya is during Tanabata. In this picture, Masumida Jinja is decorated for the celebrations. The reason the Tanabata festival is so popular here is the city's history as a hub of weaving, which ties in closely to the story and the weaving woman in it. I would bike to this shrine fairly often or stop by and say hello to the kami when coming back from the train station. The kami who resides here is Amenoho no Akari no mikoto, a kami of the sun and agriculture who makes the rice ripen and become red. Around New Year's a bugaku dance was held within the shrine which I got to sit in on. The controlled movements always leave me impressed. There was also a large boat filled with vegetables. One of my favorite monks also has a tie to the place, Kukai. It goes like this: There was a large drought, so Kukai built a straw dragon and breathed life into it. When asked to make rain the dragon said he couldn't because if he did he would die, since all other dragons had banned him from doing so. Kukai said if he made rain he would be enshrined at the jinja after his death. The dragon agreed and is now worshipped at the shrine.  ",35.30751,136.80201,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2020
nag009,Tokoname.jpg,Tokoname,,Tokoname,Aichi,"History, Industry","Tokoname is one of the most quaint, quirky, and quiet little towns in the area, most famous for its production of the maneki neko. The streets are like a maze and invite just wandering around, because at literally every corner there is a cute little detail to invite awe and appreciation. There are also many stray cats that wander around and are quite friendly. The climbing kilns are aesthetically pleasing and also quite a practical use of the confined area. Outside of the main stretch of town there is a little place called Mentai Park, dedicated to that tasty egg, mentaiko. Watching the eggs be processed is a little weird, due to the many egg sacs just flopping around. ",34.89095,136.8442,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2020
nag010,ShidamiKofungun.jpg,Shidami Kofun Experience Museum,,Nagoya,Aichi,History,"The ultimate in kofun (burial mound) experiences, this museum is sitting surrounded by hundreds of them. Behind the museum are some rebuilt kofun to model what they would have looked like when built. The picture here shows the rebuilt one with many haniwa standing around all sides. The museum itself is very concise and had some clear information in English and a really well put together walking tour of the neighborhoods. A real highlight though was an augmented reality game that could be downloaded to my phone. This game had a cute little story where you help the museum's mascots (a haniwa and princess) defeated an ancient evil that is corrupting local haniway. It required going to different spots, catching various forms of haniwa, and learning about the kofun. It also had a cool capability to overlay images on the landscape to see what it looked like in the past. The final battle took place at the Shiratorizuka, where the swan that had carried Yamato Takeru after his bite was supposedly buried. ",35.25194,137.03888,image/jpeg,Philip McCarty,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",2020
